data_set,node,n_leaves,leaves,best_taxid_match,node_precision,node_taxids,leaf,best_match_taxid,description
ERR13488567,ERR13488567_good_R1.fastq_10886_GCF_006298385.1.fna.bam,1,['ERR13488567_good_R1.fastq_10886_GCF_006298385.1.fna.bam'],10886,1.0,[10886],ERR13488567_good_R1.fastq_10886_GCF_006298385.1.fna.bam,10886,mammalian_orthoreovirus_3_dearing
ERR13488567,ERR13488567_good_R1.fastq_130309_NC_001454.1.fna.bam,1,['ERR13488567_good_R1.fastq_130309_NC_001454.1.fna.bam'],130309,1.0,[130309],ERR13488567_good_R1.fastq_130309_NC_001454.1.fna.bam,130309,human_mastadenovirus_f
ERR13488567,Inner3,2,"['ERR13488567_good_R1.fastq_1868215_GCA_965153015.1.fna.bam', 'ERR13488567_good_R1.fastq_208893_NC_001803.1.fna.bam']",11250,0.5,"[11250, 208893]",ERR13488567_good_R1.fastq_1868215_GCA_965153015.1.fna.bam,11250,human_respiratory_syncytial_virus
ERR13488567,ERR13488567_good_R1.fastq_10372_NC_001716.2.fna.bam,1,['ERR13488567_good_R1.fastq_10372_NC_001716.2.fna.bam'],10372,1.0,[10372],ERR13488567_good_R1.fastq_10372_NC_001716.2.fna.bam,10372,human_betaherpesvirus_7
ERR13488567,ERR13488567_good_R1.fastq_54290_NC_001710.1.fna.bam,1,['ERR13488567_good_R1.fastq_54290_NC_001710.1.fna.bam'],54290,1.0,[54290],ERR13488567_good_R1.fastq_54290_NC_001710.1.fna.bam,54290,gb_virus_c
ERR13488567,Inner6,2,"['ERR13488567_good_R1.fastq_482822_NC_042057.1.fna.bam', 'ERR13488567_good_R1.fastq_186765_NC_001416.1.fna.bam']",186765,0.5,"[186765, 482822]",ERR13488567_good_R1.fastq_186765_NC_001416.1.fna.bam,186765,lambdavirus
ERR13488567,ERR13488567_good_R1.fastq_2786405_NC_074583.1.fna.bam,1,['ERR13488567_good_R1.fastq_2786405_NC_074583.1.fna.bam'],2786405,1.0,[2786405],ERR13488567_good_R1.fastq_2786405_NC_074583.1.fna.bam,2786405,ssrna_phage_srr5466369_2
ERR13488567,Inner7,2,"['ERR13488567_good_R1.fastq_2731619_NC_017451.1.fna.bam', 'ERR13488567_good_R1.fastq_2786389_NC_074405.1.fna.bam']",2731619,0.5,"[2731619, 2786389]",ERR13488567_good_R1.fastq_2731619_NC_017451.1.fna.bam,2731619,caudoviricetes
ERR13488567,Inner5,3,"['ERR13488567_good_R1.fastq_687373_NC_014089.1.fna.bam', 'ERR13488567_good_R1.fastq_68887_NC_076168.1.fna.bam', 'ERR13488567_good_R1.fastq_93678_NC_076339.1.fna.bam']",93678,0.3333333333333333,"[93678, 687373, 68887]",ERR13488567_good_R1.fastq_93678_NC_076339.1.fna.bam,93678,ttv-like_mini_virus
ERR13488567,ERR13488567_good_R1.fastq_518987_GCA_036281715.1.fna.bam,1,['ERR13488567_good_R1.fastq_518987_GCA_036281715.1.fna.bam'],518987,1.0,[518987],ERR13488567_good_R1.fastq_518987_GCA_036281715.1.fna.bam,518987,influenza_b_virus_(b/lee/1940)
ERR13488567,ERR13488567_good_R1.fastq_64320_GCF_004788155.1.fna.bam,1,['ERR13488567_good_R1.fastq_64320_GCF_004788155.1.fna.bam'],64320,1.0,[64320],ERR13488567_good_R1.fastq_64320_GCF_004788155.1.fna.bam,64320,zika_virus
ERR13488567,Inner2,2,"['ERR13488567_good_R1.fastq_687351_NC_014075.1.fna.bam', 'ERR13488567_good_R1.fastq_687355_NC_014091.1.fna.bam']",687351,0.5,"[687351, 687355]",ERR13488567_good_R1.fastq_687351_NC_014075.1.fna.bam,687351,torque_teno_virus_12
ERR13480647,ERR13480647_good_R1.fastq_10359_NC_006273.2.fna.bam,1,['ERR13480647_good_R1.fastq_10359_NC_006273.2.fna.bam'],10359,1.0,[10359],ERR13480647_good_R1.fastq_10359_NC_006273.2.fna.bam,10359,human_betaherpesvirus_5
ERR13480647,ERR13480647_good_R1.fastq_1690805_NC_028967.1.fna.bam,1,['ERR13480647_good_R1.fastq_1690805_NC_028967.1.fna.bam'],1690805,1.0,[1690805],ERR13480647_good_R1.fastq_1690805_NC_028967.1.fna.bam,1690805,propionibacterium_phage_pac1
ERR13480647,ERR13480647_good_R1.fastq_130309_NC_001454.1.fna.bam,1,['ERR13480647_good_R1.fastq_130309_NC_001454.1.fna.bam'],130309,1.0,[130309],ERR13480647_good_R1.fastq_130309_NC_001454.1.fna.bam,130309,human_mastadenovirus_f
ERR13480647,ERR13480647_good_R1.fastq_2886930_NC_001422.1.fna.bam,1,['ERR13480647_good_R1.fastq_2886930_NC_001422.1.fna.bam'],2886930,1.0,[2886930],ERR13480647_good_R1.fastq_2886930_NC_001422.1.fna.bam,2886930,escherichia_phage_phix174
ERR13480647,Inner1,2,"['ERR13480647_good_R1.fastq_482822_NC_042057.1.fna.bam', 'ERR13480647_good_R1.fastq_2847060_NC_049948.1.fna.bam']",2847060,0.5,"[2847060, 482822]",ERR13480647_good_R1.fastq_2847060_NC_049948.1.fna.bam,2847060,escherichia_phage_ev017
ERR13488550,ERR13488550_good_R1.fastq_482822_NC_042057.1.fna.bam,1,['ERR13488550_good_R1.fastq_482822_NC_042057.1.fna.bam'],482822,1.0,[482822],ERR13488550_good_R1.fastq_482822_NC_042057.1.fna.bam,482822,escherichia_phage_de3
ERR13488550,ERR13488550_good_R1.fastq_10359_NC_006273.2.fna.bam,1,['ERR13488550_good_R1.fastq_10359_NC_006273.2.fna.bam'],10359,1.0,[10359],ERR13488550_good_R1.fastq_10359_NC_006273.2.fna.bam,10359,human_betaherpesvirus_5
ERR13488568,ERR13488568_good_R1.fastq_2786405_NC_074583.1.fna.bam,1,['ERR13488568_good_R1.fastq_2786405_NC_074583.1.fna.bam'],2786405,1.0,[2786405],ERR13488568_good_R1.fastq_2786405_NC_074583.1.fna.bam,2786405,ssrna_phage_srr5466369_2
